Ticker,Tier,Price,P/E,Sector,Z-Score,ROIC %,Op Margin %,Avg Margin (4Y),Curr Ratio,Int Cov,Mkt Cap (B),Analyst_Rating,Target_Price,Upside_%
WPM.TO,Fortress,171.59,56.26,Basic Materials,284.39,8.72,66.54,50.89,8.089,2269.82,77.9,1.4375,191.57774,11.65
MSA.TO,Fortress,5.97,8.18,Basic Materials,8.31,31.48,37.5,22.59,1.691,18.14,1.77,1.0,6.6647058,11.64
APM.TO,Fortress,9.42,13.46,Basic Materials,7.26,15.31,33.71,5.28,2.678,6.17,1.4,1.33333,10.502651,11.49
FRU.TO,Fortress,14.89,18.61,Energy,3.94,14.28,51.54,57.64,1.63,13.41,2.44,2.16667,16.5625,11.23
FTT.TO,Fortress,76.26,18.16,Industrials,3.63,17.81,8.23,8.0,1.648,5.33,10.11,1.55556,84.44444,10.73
RUS.TO,Fortress,45.2,15.48,Industrials,5.42,12.78,4.4,9.08,3.622,9.67,2.52,2.0,49.85714,10.3
CCL-B.TO,Fortress,88.37,19.25,Consumer Cyclical,3.96,14.28,15.28,14.17,2.194,10.75,15.31,1.6,97.3,10.11
KNT.TO,Fortress,23.72,16.7,Basic Materials,24.83,30.81,68.87,35.98,3.285,456.18,5.77,1.46154,26.08385,9.97
HWX.TO,Fortress,9.2,12.6,Energy,7.12,30.1,38.65,38.91,1.316,101.82,2.2,1.77778,10.11111,9.9
SVM.TO,Fortress,12.44,82.93,Basic Materials,6.66,10.35,42.7,30.35,4.588,22.11,2.74,1.33333,13.658031,9.79
MRU.TO,Fortress,97.95,21.16,Consumer Defensive,4.13,11.89,6.45,6.83,1.296,9.05,21.31,2.45455,105.81818,8.03
IMG.TO,Fortress,23.64,29.92,Basic Materials,5.26,20.2,35.3,7.83,1.684,374.85,14.02,2.0,25.43592,7.6
BDGI.TO,Fortress,74.91,29.73,Industrials,5.73,15.63,13.16,6.6,1.477,5.63,2.53,1.875,80.0625,6.88
AEM.TO,Fortress,258.47,27.38,Basic Materials,9.25,10.21,53.1,29.01,2.12,33.63,129.84,1.75,271.6632,5.1
L.TO,Fortress,61.04,29.78,Consumer Defensive,3.52,13.53,6.89,6.01,1.35,4.59,72.1,1.90909,63.18182,3.51
DPM.TO,Fortress,44.96,19.05,Basic Materials,47.13,20.76,42.96,36.22,2.774,176.88,9.98,1.5,46.539192,3.51
TIH.TO,Fortress,169.15,27.96,Industrials,6.91,19.84,14.41,13.97,3.091,25.26,13.76,2.11111,174.11111,2.93
ELD.TO,Fortress,52.59,20.95,Basic Materials,3.44,8.4,39.69,19.59,2.794,22.64,10.57,2.2,53.661278,2.04
ATZ.TO,Fortress,125.25,52.19,Consumer Cyclical,8.4,17.56,11.24,11.61,1.441,6.99,14.44,1.42857,127.76923,2.01
ABX.TO,Fortress,65.79,22.84,Basic Materials,5.28,11.18,49.01,30.18,2.944,11.89,112.24,1.68182,66.40976,0.94
PAAS.TO,Fortress,73.58,30.79,Basic Materials,8.02,7.36,30.05,7.2,2.313,10.07,31.05,2.0,73.67776,0.13
FVI.TO,Fortress,13.81,11.91,Basic Materials,5.07,12.97,64.23,18.55,3.298,8.31,4.24,2.5,13.666405,-1.04
ALS.TO,Fortress,43.12,5.64,Basic Materials,9.17,15.66,41.82,50.25,8.46,11.53,2.0,2.0,42.14286,-2.27
CG.TO,Fortress,21.44,9.66,Basic Materials,5.93,8.84,34.06,13.73,2.888,160.69,4.33,2.5,20.684856,-3.52
K.TO,Fortress,42.84,21.64,Basic Materials,8.11,15.62,44.25,13.05,2.83,30.33,52.21,1.88889,39.98654,-6.66
RBA.TO,Fortress,149.49,51.73,Industrials,3.48,7.48,14.74,18.6,1.233,3.35,27.76,1.6,130.04962,-13.0
